2023-09-02 06:21:10,143 | INFO | ulauncher: main() | Ulauncher version 5.15.3
2023-09-02 06:21:10,143 | INFO | ulauncher: main() | Extension API version 2.0.0
2023-09-02 06:21:10,144 | INFO | ulauncher: main() | GTK+ 3.24.38
2023-09-02 06:21:10,144 | INFO | ulauncher: main() | Is Wayland: False
2023-09-02 06:21:10,144 | INFO | ulauncher: main() | Wayland compatibility: off
2023-09-02 06:21:10,257 | DEBUG | ulauncher.ui.windows.Builder: __init__() | consider using a pythonic name instead of design name 'input-box'
2023-09-02 06:21:10,265 | DEBUG | ulauncher.ui.windows.Builder: do_connect() | connect builder by name 'ulauncher_window','destroy', 'on_destroy'
2023-09-02 06:21:10,266 | DEBUG | ulauncher.ui.windows.Builder: do_connect() | connect builder by name 'ulauncher_window','focus_in_event', 'on_focus_in_event'
2023-09-02 06:21:10,266 | DEBUG | ulauncher.ui.windows.Builder: do_connect() | connect builder by name 'ulauncher_window','focus_out_event', 'on_focus_out_event'
2023-09-02 06:21:10,269 | DEBUG | ulauncher.ui.windows.Builder: do_connect() | connect builder by name 'input','key_press_event', 'on_input_key_press_event'
2023-09-02 06:21:10,270 | DEBUG | ulauncher.ui.windows.Builder: log_unconnected_functions() | Not connected to builder 'on_input_changed'
2023-09-02 06:21:10,271 | DEBUG | ulauncher.ui.windows.Builder: log_unconnected_functions() | Not connected to builder 'on_mnu_about_activate'
2023-09-02 06:21:10,271 | DEBUG | ulauncher.ui.windows.Builder: log_unconnected_functions() | Not connected to builder 'on_mnu_close_activate'
2023-09-02 06:21:10,271 | DEBUG | ulauncher.ui.windows.Builder: log_unconnected_functions() | Not connected to builder 'on_mnu_preferences_activate'
2023-09-02 06:21:10,271 | DEBUG | ulauncher.ui.windows.Builder: log_unconnected_functions() | Not connected to builder 'on_preferences_dialog_destroyed'
2023-09-02 06:21:10,276 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2023-09-02 06:21:10,277 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 1280, H: 800
2023-09-02 06:21:10,372 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 0 results
2023-09-02 06:21:10,393 | INFO | ulauncher.search.apps.app_watcher: start() | Started scanning desktop dirs
2023-09-02 06:21:10,397 | INFO | ulauncher.api.server.ExtensionServer: _start_thread() | Starting WS server on port 5054
2023-09-02 06:21:10,442 | INFO | ulauncher.ui.windows.UlauncherWindow: bind_show_app_hotkey() | Trying to bind app hotkey: <Primary><Alt>space
2023-09-02 06:21:10,525 | INFO | ulauncher.utils.desktop.reader: find_apps_cached() | Found 116 apps in cache
2023-09-02 06:21:10,704 | INFO | ulauncher.utils.desktop.reader: read_desktop_file() | Could not read "/usr/share/applications/org.ubuntubudgie.budgie-extras.HotCorners.desktop": constructor returned NULL
2023-09-02 06:21:10,746 | INFO | ulauncher.utils.desktop.reader: find_apps_cached() | Found 116 apps in the system
2023-09-02 06:21:10,746 | INFO | ulauncher.search.apps.app_watcher: start() | Scanned desktop dirs in 0.35 seconds
2023-09-02 06:21:10,760 | DEBUG | ulauncher.search.apps.app_watcher: start() | Start watching desktop files...
